# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ERC1	ENSG00000082805	ENST00000440394	nonsense_mediated_decay	0	1	0	1004	0	0	5	0	973	0	27	0	0	1	0	0	0	0
ERC1	ENSG00000082805	ENST00000542302	nonsense_mediated_decay	0	3	0	1008	0	2	9	0	969	0	31	0	0	1	0	0	0	0
ERC1	ENSG00000082805	ENST00000543086	protein_coding	1	11	11	977	0	0	5	0	973	11	0	0	0	1	1	0	10	0
ERC1	ENSG00000082805	ENST00000545318	protein_coding	0	5	3	992	0	0	5	47	941	3	0	0	0	1	0	0	4	0
ERC1	ENSG00000082805	ENST00000545948	nonsense_mediated_decay	0	1	0	1004	0	0	5	0	973	0	27	0	0	1	0	0	0	0
ERC1	ENSG00000082805	ENST00000546231	protein_coding	1	13	11	977	0	2	9	0	969	11	0	0	0	1	1	0	10	0
ERC1	ENSG00000082805	ENST00000587595	processed_transcript	0	1	0	999	0	0	0	56	941	0	3	0	0	1	0	0	0	0
ERC1	ENSG00000082805	ENST00000589028	protein_coding	1	10	11	198	0	0	5	0	32	11	0	0	0	0	1	0	10	161
ERC1	ENSG00000082805	ENST00000589132	protein_coding	0	9	7	984	0	0	8	40	938	7	0	0	0	2	0	0	7	0
ERC1	ENSG00000082805	ENST00000592048	protein_coding	1	4	4	991	0	0	0	0	992	4	0	0	0	1	1	0	3	0
ERC1	ENSG00000082805	ENST00000611180	protein_coding	1	10	11	198	0	0	5	0	32	11	0	0	0	0	1	0	10	161
FGFRL1	ENSG00000127418	ENST00000264748	protein_coding	2	25	27	676	55	0	2	60	392	27	0	0	0	2	2	0	24	168
FGFRL1	ENSG00000127418	ENST00000398484	protein_coding	3	29	27	770	55	2	20	60	458	27	0	1	0	4	2	0	24	179
FGFRL1	ENSG00000127418	ENST00000504138	protein_coding	2	26	27	686	0	0	5	115	399	27	0	0	0	3	2	0	24	169
FGFRL1	ENSG00000127418	ENST00000507339	protein_coding	0	11	5	725	0	0	5	168	383	5	0	0	0	1	0	0	11	169
FGFRL1	ENSG00000127418	ENST00000510644	protein_coding	2	25	27	701	23	0	3	92	409	27	0	0	0	2	2	0	24	175
FGFRL1	ENSG00000127418	ENST00000512174	protein_coding	0	6	2	687	0	0	12	173	333	2	0	0	0	0	0	0	6	169
FGFRL1	ENSG00000127418	ENST00000512562	processed_transcript	0	1	0	389	0	0	0	170	30	0	12	0	0	1	0	0	0	178
GRIN3B	ENSG00000116032	ENST00000234389	protein_coding	4	46	58	377	4	0	1	162	199	58	0	0	1	2	3	0	45	13
GRIN3B	ENSG00000116032	ENST00000588335	processed_transcript	0	1	0	344	0	0	0	165	7	0	21	0	0	1	0	0	0	152
GTPBP4	ENSG00000107937	ENST00000360059	protein_coding	0	0	0	78	0	0	0	78	0	0	0	0	0	0	0	0	0	0
GTPBP4	ENSG00000107937	ENST00000360803	protein_coding	3	15	24	794	84	0	0	171	541	24	0	0	1	5	2	0	14	0
GTPBP4	ENSG00000107937	ENST00000483839	processed_transcript	0	0	0	495	0	0	0	164	144	0	16	0	0	0	0	0	0	171
GTPBP4	ENSG00000107937	ENST00000491261	processed_transcript	0	1	0	387	0	0	0	171	39	0	13	0	0	1	0	0	0	165
GTPBP4	ENSG00000107937	ENST00000491635	processed_transcript	0	5	0	520	0	0	0	172	328	0	25	0	0	5	0	0	0	0
HES4	ENSG00000188290	ENST00000304952	protein_coding	0	1	0	166	0	1	4	0	0	0	0	0	0	0	0	0	0	162
HES4	ENSG00000188290	ENST00000428771	protein_coding	0	1	0	168	0	1	7	0	0	0	0	0	0	0	0	0	0	161
HES4	ENSG00000188290	ENST00000481869	retained_intron	0	0	0	165	0	0	0	0	0	0	4	0	0	0	0	0	0	161
HES4	ENSG00000188290	ENST00000484667	protein_coding	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	162
IDI2	ENSG00000148377	ENST00000277517	protein_coding	0	12	12	503	20	0	3	159	191	12	0	0	0	4	0	0	8	133
IDI2-AS1	ENSG00000232656	ENST00000420381	antisense	0	1	0	404	0	0	0	0	237	0	4	0	0	1	0	0	0	164
IDI2-AS1	ENSG00000232656	ENST00000428780	antisense	0	1	0	404	0	0	0	0	237	0	4	0	0	1	0	0	0	164
IDI2-AS1	ENSG00000232656	ENST00000434470	antisense	0	1	0	404	0	0	0	0	237	0	3	0	0	1	0	0	0	165
IDI2-AS1	ENSG00000232656	ENST00000437374	antisense	0	1	0	404	0	0	0	0	237	0	4	0	0	1	0	0	0	164
IDUA	ENSG00000127415	ENST00000247933	protein_coding	3	27	33	275	4	0	0	180	99	33	0	2	0	8	1	0	21	0
IDUA	ENSG00000127415	ENST00000502829	retained_intron	0	1	0	299	0	0	0	181	3	0	21	0	0	1	0	0	0	95
IDUA	ENSG00000127415	ENST00000502910	protein_coding	2	7	13	230	0	0	0	180	54	13	0	2	0	2	0	0	5	0
IDUA	ENSG00000127415	ENST00000504568	protein_coding	2	4	10	226	0	0	0	180	50	10	0	2	0	2	0	0	2	0
IDUA	ENSG00000127415	ENST00000506561	retained_intron	2	1	0	218	0	0	0	180	28	0	13	2	0	1	0	0	0	0
IDUA	ENSG00000127415	ENST00000508168	retained_intron	2	1	0	217	0	0	0	180	28	0	12	2	0	1	0	0	0	0
IDUA	ENSG00000127415	ENST00000509948	protein_coding	2	5	12	226	0	0	0	180	50	12	0	2	0	2	0	0	3	0
IDUA	ENSG00000127415	ENST00000514192	protein_coding	2	8	14	232	0	0	0	182	54	14	0	2	0	2	0	0	6	0
IDUA	ENSG00000127415	ENST00000514224	protein_coding	3	27	32	276	4	0	4	180	97	32	0	2	0	9	1	0	20	0
IDUA	ENSG00000127415	ENST00000514417	retained_intron	0	2	0	310	0	0	0	181	2	0	8	0	0	2	0	0	0	121
IDUA	ENSG00000127415	ENST00000514698	retained_intron	2	7	0	329	0	0	0	180	91	0	67	2	0	7	0	0	0	0
ISG15	ENSG00000187608	ENST00000379389	protein_coding	0	13	7	346	2	0	4	161	16	7	0	0	0	2	0	0	11	165
ISG15	ENSG00000187608	ENST00000624652	protein_coding	0	14	7	611	0	1	4	161	408	7	0	0	0	4	0	0	10	41
ISG15	ENSG00000187608	ENST00000624697	protein_coding	0	14	7	614	2	1	6	161	407	7	0	0	0	2	0	0	11	40
LLNLR-284B4.1	ENSG00000274177	ENST00000610701	antisense	0	0	0	344	0	0	0	157	8	0	14	0	0	0	0	0	0	165
LLNLR-284B4.2	ENSG00000266990	ENST00000588380	antisense	0	0	0	260	0	0	0	0	81	0	16	0	0	0	0	0	0	163
MIR3183	ENSG00000264429	ENST00000578566	miRNA	0	0	0	341	0	0	0	171	0	0	3	0	0	0	0	0	0	167
MIR339	ENSG00000199023	ENST00000362153	miRNA	0	0	0	341	0	0	0	170	0	0	3	0	0	0	0	0	0	168
MUC6	ENSG00000184956	ENST00000421673	protein_coding	12	109	107	504	21	0	0	166	333	107	0	3	2	17	7	0	98	0
MUC6	ENSG00000184956	ENST00000525923	protein_coding	0	0	0	99	0	0	0	99	0	0	0	0	0	0	0	0	0	0
MUC6	ENSG00000184956	ENST00000527242	protein_coding	1	6	5	356	2	0	0	170	13	5	0	1	0	0	0	0	6	172
MUC6	ENSG00000184956	ENST00000532016	protein_coding	1	5	16	403	0	0	0	166	65	16	0	0	1	1	0	0	5	173
NKD2	ENSG00000145506	ENST00000274150	protein_coding	0	2	4	864	0	1	5	0	699	4	0	0	0	2	0	0	0	161
NKD2	ENSG00000145506	ENST00000296849	protein_coding	0	2	4	868	0	1	9	0	699	4	0	0	0	2	0	0	0	161
NKD2	ENSG00000145506	ENST00000519933	retained_intron	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	49
NKD2	ENSG00000145506	ENST00000523688	retained_intron	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	28
RNU6-1073P	ENSG00000252991	ENST00000517182	snRNA	0	0	0	234	0	0	0	58	0	0	3	0	0	0	0	0	0	173
RNU6-2	ENSG00000207357	ENST00000384627	snRNA	0	0	0	343	0	0	0	170	0	0	5	0	0	0	0	0	0	168
RP11-147I11.1	ENSG00000228783	ENST00000437555	processed_pseudogene	0	3	0	364	0	0	0	175	10	0	15	0	0	3	0	0	0	167
RP11-161M6.3	ENSG00000260496	ENST00000565401	lincRNA	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	102
RP11-161M6.3	ENSG00000260496	ENST00000599946	lincRNA	0	2	0	201	0	0	0	0	21	0	13	0	0	2	0	0	0	169
RP11-43F13.3	ENSG00000215246	ENST00000399869	antisense	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	77
RP11-43F13.4	ENSG00000272347	ENST00000606540	lincRNA	0	0	0	375	0	0	0	161	0	0	56	0	0	0	0	0	0	158
RP11-460I19.2	ENSG00000250259	ENST00000503095	lincRNA	0	1	0	207	0	0	0	0	32	0	5	0	0	1	0	0	0	171
RP11-54O7.10	ENSG00000231702	ENST00000423619	processed_pseudogene	0	0	0	323	0	0	0	155	0	0	5	0	0	0	0	0	0	163
RP11-54O7.11	ENSG00000224969	ENST00000458555	antisense	0	1	0	372	0	0	0	163	23	0	15	0	0	1	0	0	0	172
RP11-54O7.17	ENSG00000272512	ENST00000606034	lincRNA	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	101
RP11-78F17.1	ENSG00000263551	ENST00000577719	lincRNA	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
RP11-78F17.1	ENSG00000263551	ENST00000579835	lincRNA	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
RP11-78F17.1	ENSG00000263551	ENST00000580781	lincRNA	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
RP5-856G1.1	ENSG00000270937	ENST00000603854	lincRNA	0	0	0	285	0	0	0	161	0	0	28	0	0	0	0	0	0	96
RSPO4	ENSG00000101282	ENST00000217260	protein_coding	0	4	1	234	0	0	2	0	67	1	0	0	0	0	0	0	4	165
RSPO4	ENSG00000101282	ENST00000400634	protein_coding	0	4	1	234	0	0	2	0	67	1	0	0	0	0	0	0	4	165
SNTG2	ENSG00000172554	ENST00000308624	protein_coding	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
SNTG2	ENSG00000172554	ENST00000407292	protein_coding	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
SNTG2	ENSG00000172554	ENST00000450962	nonsense_mediated_decay	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
SNTG2	ENSG00000172554	ENST00000452177	nonsense_mediated_decay	0	0	0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
TIMM22	ENSG00000177370	ENST00000327158	protein_coding	0	1	1	283	82	0	0	166	35	1	0	0	0	0	0	0	1	0
TMEM259	ENSG00000182087	ENST00000333175	protein_coding	3	30	17	659	43	0	3	164	284	17	0	1	1	6	0	1	26	171
TMEM259	ENSG00000182087	ENST00000356663	protein_coding	2	36	31	643	27	0	5	164	281	31	0	1	1	6	0	0	32	172
TMEM259	ENSG00000182087	ENST00000586250	protein_coding	0	13	6	375	0	0	1	166	51	6	0	0	0	3	0	0	11	159
TMEM259	ENSG00000182087	ENST00000586285	protein_coding	1	11	13	337	0	0	0	165	22	13	0	1	0	1	0	0	10	152
TMEM259	ENSG00000182087	ENST00000586704	retained_intron	2	4	0	696	0	0	0	164	278	0	89	1	1	4	0	0	0	171
TMEM259	ENSG00000182087	ENST00000589055	retained_intron	1	2	0	397	0	0	0	169	47	0	25	0	1	2	0	0	0	159
TMEM259	ENSG00000182087	ENST00000589831	retained_intron	0	1	0	356	0	0	0	165	20	0	15	0	0	1	0	0	0	157
TMEM259	ENSG00000182087	ENST00000592052	retained_intron	0	0	0	375	0	0	0	162	0	0	56	0	0	0	0	0	0	157
TMEM259	ENSG00000182087	ENST00000592590	protein_coding	2	28	21	533	43	0	0	164	159	21	0	0	1	4	0	1	26	170
TMEM259	ENSG00000182087	ENST00000592618	retained_intron	3	1	0	407	0	0	0	164	27	0	65	1	2	1	0	0	0	155
TMEM259	ENSG00000182087	ENST00000593068	nonsense_mediated_decay	2	5	0	480	47	0	0	164	50	0	69	1	1	5	0	0	0	157
TMEM259	ENSG00000182087	ENST00000607316	retained_intron	1	3	0	368	0	0	0	170	29	0	15	0	1	3	0	0	0	158
WDR18	ENSG00000065268	ENST00000591997	protein_coding	0	0	0	118	0	0	0	118	0	0	0	0	0	0	0	0	0	0
